habit,thoi quen
balance,can bang
change,thay doi
atmosphere,khong khi
culture,van hoa
student,sinh vien
pupil,hoc sinh
institution,to chuc
university,dai hoc
havert,mua gat
worldwide,toan the gioi
transport,van chuyen
severe,nghiem trong
steal,trom
jewel,trang suc
deny,tu choi
yard,san
fight,danh nhau
arrest,bat giam
admit,thua nhan
warm,am ap
lead,dan dat
climate,khi hau
gate,cong
present,hien tai
threaten,ham doa
deforest,pha rung
fog,suong mu
frog,con ech
prevent,ngan chan
against,chong lai
